"AuthorName","COUNT(*)"
 tama montgomery,3
 tanith lee,1
 terry bisson,1
 tess newall,1
 theodore,3
 theodore l. thomas,3
 theodore roosevelt,3
 theodore sturgeon,18
 theosophical society.],1
 thomas,21
 thomas bailey aldrich,1
 thomas bovie,1
 thomas bulfinch,6
 thomas burke,4
 thomas deja,2
 thomas floyd,1
 thomas gray,13
 thomas h.,1
 thomas h. johnson,2
 thomas johnsonitor],1
 thomas m. davisitor],1
 thomas m. disch,3
 thomas preskett prest,2
 thomas t. thomas,6
 thomas traherne,1
 thomas.,5
 thomas. with notes,1
 thomas/ budin,1
 thos. s. gardner,1
 tim,1
 timothy zahn,1
 tom bailey,1
 tom godwin,1
 tom purdom,1
 tom reamy,4
 tom trento,1
 tony westermayr,1
 toshiki kudo,1
 trans.intro. by,1
 translated by,1
 translationintroduction,1
 triciage,2
 tricks mcgill,2
 trina robbins,1
 ursula parrott,1
 vaida stewart montgomery,3
 valdemar] andersen,1
 verge foray,1
 veronica chambers,8
 vic,1
 vic ghidalia,1
 vic ghidalias.,2
 vicitor] lovecraft,1
 vilhelm,3
 vilhelm andersen,1
 vincent difate,1
 vincent starrett [foreword],1
 virgil finlay,2
 virginia dale,1
 virginia woolf,3
 volume 8 doyle,1
 w. e. crum,1
 w. h. klapp,1
 w. w. robson,2
 waggoner hawthorne,2
 wallace stevens,1
 walt disney company,7
 walt disney enterprises staff,1
 walt sheldoncharles a. stearns.,1
 walt whitman,4
 walter [ausw.],1
 walter b.,1
 walter cronkite,2
 walter kubilius,1
 walter m. derleth,1
 walter m. miller,1
 walter scott,5
 warner berthoff [introduction],1
 warner berthoffitor],1
 washington irving,13
 wayne wightman,1
 weaver,2
 wellman,2
 wenzell brown,2
 werlin,2
 wheaton henry,1
 white ,1
 whitman,1
 whitney darrow,1
 will,2
 will f. jenkins,1
 will weaver,8
 william,4
 william beckford,6
 william carlos williamsmany others,1
 william e barrett,2
 william f. burger,5
 william fuller,1
 william garden,2
 william garden blaikie,1
 william h. klapp,1
 william henry,1
 william hope hodgson,2
 william jardine,1
 william manchester,3
 william o. douglas,2
 william p. mcgivern,1
 william p. tucker,1
 william temple,4
 william tenn,2
 winfield townley,1
 winfield townley scott,1
 with an intro by lin carter,6
 with notes,1
 zenna / leiber,1
 zenna henderson,1
.,5
. ed,3
. leigh brackett,1
. n edward william,3
. nr,1
. rupert,2
"1831-1891 helena petrovna blavatsky",1
"1855]",1
:,4
[the main work on atlantis],1
a e van vogt,5
a wallis budge e a wallis budge,1
a. audiberti,1
a. e. van vogt,3
a. merritt,1
a. morris jon barry,1
a.b.c. contre poirot agatha christie,1
a.e. van vogt,1
a.e. wallis budge,1
a.l. ed. includes alexander,1
a.p. [alfred percy] sinnett,1
aa. vv.,1
aagaard andersen,1
aaron,1
aaron shepard,1
abraham merritt,21
adapt du roman original de charles dickens par grant mcintyr,1
adapt du roman original de charles dickens par tom jokic (tr,2
additions by william h. klapp,1
adolphe danziger de castro,2
agata christie,1
agatha christie,344
agatha christie mallowan,2
agatha. christie,1
aileen austin) fisher,1
alain traissac,1
albert emerson brown,1
albert k owen,1
albert teichner robert f. young,1
alberto edward,1
alden h.,7
alec waugh,1
alexander blade lynn standish,1
alexander c. irvine,1
alexander et al blade,1
alfred,8
alfred bester philip k dick,2
alfred coppel jr planet stories) [leigh brackett,1
alfred coppel raymond van houten,1
alfred h. bill,1
alfred hitchcock,2
alfred jr. coppel,1
alfred leete hampson,1
alfred thompson wallis budge,1
alfred w tatum,1
alfred wallis budge,2
algernon blackwood,5
algis budrys,1
alistair maclean,2
allen drury [contribute to:] gordon r. dickson,1
allison v. hardingothers robert bloch,1
alma flor ada,1
alva mitchell,2
alvinitor]man,1
alyssa harad,2
amazing,10
amazing stories classics david h keller md,1
ambrose,6
ambrose (adapted. bierce,5
ambrose / illustrated by ferebe streett bierce,1
ambrose [gwinett],1
ambrose bierce,259
ambrose bierce august derleth,1
ambrose bierce dorothy parker,1
ambrose bierce edgar allan poe,1
ambrose bierce francis bret harte,1
ambrose bierce/roy morris jr.,1
ambrose bierceadolphe danziger de castro,1
ambrose ed: jackson bierce,1
ambrose et al bierce,1
ambrose et al. bierce,1
ambrose gwinnett bierce,17
ambrose r. w./ bierce,2
ambrose. bierce,6
ambrose. compiled by carroll d. hall. foreword by joseph henry jackson. bierce,1
ambrose. introduction by clifton fadiman. bierce,2
ambrose. introduction by george sterling bierce,1
ambrose: bierce,3
ambrosejoseph henry jackson bierce,1
amelia ann blanford edwards,1
amelia b. edwards,6
amelia edwards,4
amy bllom,1
amy lowell,1
andersen,8
andersen poul,2
anderson,1
andre,1
andre crichton,1
andre norton,17
andrew,6
andrew [179 crichton,1
andrew b. crichton,1
andrew crichton,38
andrew crichton william jardine,1
andrew crichtonhenry wheaton,2
andrew humphries,6
andrew j offutt,2
andrew j. offutt,10
andrew lang,18
andrew macphail,1
andrew offutt,6
andrew offuttrichard lyon,1
andrew roberts,2
andrew s. lang,1
andrew. crichton,6
andrewhenry wheaton crichton,1
andrewhenry wheaton. crichton,1
andrewhenry wheaton: crichton,1
andrews,3
andr� dh�tel anne-marie soulac,1
angela cohen,1
ann ward radcliffe,1
anna gooding dodge,1
anne bradstreet,11
anne bradstreet phillis wheatley marianne moore sylvia plath emily dickinson hilda doolittle edna st. vincent millay amy lowell emma lazarus,1
anne h,1
anne morrow lindbergh,2
anonymous,1
anthology,1
anthology edited by august derleth ,3
anthology edited by charles m. collins,1
anthony,2
anthony andrews,2
anthony boucher august derleth,2
antonella caputo,1
antonio machado,1
archie,1
arnol bennett,1
arnold,1
arnold bennett robert eustace,4
art lewis,1
arthur c. clarke,3
arthur c. clarke ray bradbury,2
arthur conan,2
arthur conan  haining doyle,1
arthur conan doyle,171
arthur conan doyle charles dickens,2
arthur conan sir doyle,4
arthur conan) haycraft doyle,1
arthur conan-doyle,2
arthur conan. doyle,2
arthur leo zagat,1
arthur machen,8
arthur miller,17
arthur n. charles et cox,1
arthur w. saha,1
arthurrobert w. chambers machen,1
arthurs c. clarke,1
ashabranner,1
asimov's,3
associ�s contre le crime christie,1
astonishing,1
astounding,1
astounding science-fiction) [cover art by hubert rogers] [c. l. moore,1
august,96
august . derleth,1
august / junior vision book derleth,1
august [ contributors] derleth,1
august [author] derleth,2
august [contributor] hallieitors] derleth,1
august [contributors] derleth,1
august [dust wrapper by frank utpatel] derleth,1
august [dust wrapper by gary gore] derleth,1
august [henry david thoreau] derleth,1
august [illustrated by frank utpatel save for map endsheet by hjalmar skuldt] [dust wrapper by jean kendall] derleth,1
august [illustrated with woodcuts by grisha dotzenko] derleth,1
august [introduction by j. allen hubin] derleth,1
august derlet,2
august derleth,514
august derleth -,10
august derleth [uk],1
august derleth albert page mitchell,2
august derleth anthony boucher,2
august derleth don wilcox,3
august derleth e. hoffmann price,1
august derleth ed hoch,1
august derleth ed.,1
august derleth edited by dorothy mcilwraith with stories by carl jacobi,1
august derleth edited by dorothy mcilwraith with stories edmond hamilton,1
august derleth edited by jules saltman with stories by philip k. dick,1
august derleth editior,1
august derleth fantastic adventures) [cover art by r. e. epperley] [john wilstach,1
august derleth h. p.,1
august derleth joseph payne brennan,1
august derleth robert bloch,1
august derleth society,2
august derleth william irish,2
august derleth william tenn,1
august derleth.,1
august derleth],1
august derlethfritz leiber,1
august derlethothers stanton a. coblentz,1
august ed. derleth,5
august edited by derleth,2
august editor) derleth,1
august et al derleth,3
august et al. derleth,1
august science fiction) derleth,1
august w. derleth,13
august w. derleth bram stoker,2
august w.] [derleth,1
august william,1
august william derleth,66
august william derleth et pierre salva,2
august william) derleth,1
august william. derleth,1
august william: derleth,1
august-editor derleth,3
august.,2
august. derleth,27
august. forward by donald wandrei derleth,1
august.: derleth,1
augustitor derleth,2
augustitor) derleth,1
augustitor] derleth,1
autres daniel baruch,1
autres ren� gillouin,1
avram davidson,1
bantam books,1
barrows bennett,3
barry malzberg,1
barry n. malzberg,1
bart,2
basil,3
basil copper,2
basil wells raymond z. gallun,1
baxter,2
baynard kendrick,1
bellyse baildon bret harte caroline norton robert bloomfield,4
ben p. indick,1
benny andersen,2
berkeley livingston,1
bester,1
betty m.,5
betty swinford,1
bierce,7
bierce ambrose,8
bierce.ambrose,1
biercegeorge sterling,2
bjorn nyberg,3
bj� rn nyberg,4
bj�rn nyberg,4
blaikie,2
blavatsky,33
blavatsky e. p.,1
blavatsky h. p.,31
blavatsky helena,1
blavatsky helena p.,10
blavatsky helena petrovna,3
blavatsky helena petrovna.,2
blavatsky helena petrowna,1
blavatsky h�l�na-p�trowna,2
bob,1
bob shaw,1
boisgilbert,3
boisgilbert edmund,1
bonggren,1
boris,3
boyce,1
brackett,27
brackett leig,1
brackett leigh,64
brackett leigh -,3
brackett leigh / robert silverberg,1
brackett leigh-[raimondo g.],1
brackett leigh.,4
bram stoker,22
brian lumley,1
brian w.,1
brian w. aldis,1
brian w. aldiss,2
brian w. aldiss fritz leiber,1
british museum,1
british museum dept . of egyptianassyrian antiquities ,1
british museum. dept . of egyptianassyrian antiquities ,1
brother antoninus jerome mazzaro,1
brother david steindl-rast,1
bruce elliott e.f. benson,1
brunner,3
budge,12
budge e a wallis,1
budge e. a. wallis,7
budge e. a. wallis budge,4
budge e. a. wallis sir,10
budge e. wallis,1
budge e.a. wallis,2
budge e.a.wallis budge e.a.wallis,4
budge m. a.,2
budge sir e. a. wallis,1
budge wallis -- san,1
budge wallis e. a.,1
budgewallis,2
bulfinch,15
bulfinch creator,1
bulfinch thomas,9
bulfinch thomas -.,2
bulfinch thomas dover publications,1
bulfinch thomas:,2
bulfinch.thomas,2
burton armus,2
butler ronald m.,1
c m kornbluth august derleth,3
c s forester,1
c. i cento linguaggi dei bambini. l'approccio di reggio emilia all'educazione dell'infanzia edwards,1
c. j.lake stanley mullen,1
c. l. moore,9
c. m. kornbluth,2
c. s. forester,2
c. w. e. bigsby,1
c.c. macapp,1
c.j. cutliffe,2
c.j. cutliffe hyne,1
c.l. moore henry kuttner,2
cabell,2
caitlin matthews,1
calvin,1
candlish,2
carit andersen,1
carl jacobi l sprague decamp,2
carl jacobi leigh brackett,1
carl jacon,1
carl sandburg,1
carll jacobi,1
carlo fruttero ,1
carlo fruttero franco lucentini,5
carlp fruttero charles dickens,5
carol costello,1
carole marsh,2
caroline leavitt,2
carter,18
carter lin,5
carter t. wainwright charles i. marks,1
carter t. wainwright j. r. marks,1
carter: lin,1
carys cragg,3
cecilia dart-thornton,1
cele,5
chad oliver,4
chandleritor] borssard,3
chant,5
charles,9
charles a. stearns judith merril,1
charles adapted as a novel by osborne,1
charles beaumont ,3
charles charles dickens,1
charles dickens,359
charles dickens sparknotes,9
charles dickens with an introduction by karen hesse,2
charles dickens.,1
charles et al beaumont,1
charles fort,21
charles harness leigh brackett,2
charles l. grant,1
charles lamb mary ann lamb,1
charles m.,1
charles mills gayley,2
charles q. bufe,2
charles scribner,1
charles webster] [leadbetter,1
charles wimberly lowry,1
charles wolfe,1
charles) merchant (dickens,1
charles-dickens,5
charles. illustrated by mary petty dickens,2
charlotte bront�,1
charlotte e. guest,2
chas a. stearns michael shaara,1
chester geier robert bloch,1
chester s. geier richard s. shaver,1
chi chung,1
choisis et present�s par j. papy / michel deutsc,1
chris crutcher,8
chris gabrysch,1
christe andersen,1
christie,5
christie agatha,11
christie s.,1
christine dickens charles cotting,1
christine m. rosner rn phd anne-marie kiehne rn msn,1
christoper william koch,1
christopher 1869-1943 [ smart,1
christopher anvil,2
christopher benfey,1
christopher holme,2
christopher priest,1
christopher spinrad priest,2
christopher william koch,2
christopher william. trans. andrew crichton. continuation by m. schoell. koch,1
claire lamont,1
claire throp,1
clare winger harris,9
clark ashton et al. smith,1
clark ashton smith,7
clark ashton smith clark ashton smith,1
clark ashton smith edmond hamilton,1
clark ashton smith richard matheson,1
clark ashtonothers smith,1
claude leroy claude-p. perez,1
claudine chonez alain bosquet,1
clayton,1
clement / sargent,1
clement c. moore,1
clement c. moore alec templeton,1
clifford,1
clifton,1
cogswell,2
collectif,1
comet,1
compiled by,1
compliededited by h. burford pratt.,1
conan doyle,20
conan t troy,1
confucius socrates,1
congdon,1
conrad l. stanitski,1
contr.] fred blosser et al.,1
contributors. robert abernathy,1
cook thomas keith johnston,1
cordwainer smith,1
cornell woolrich,1
corness woolrich,3
cover ,1
coxe,1
craig browning,2
craig browning lester del rey,1
craig rice leigh brackett,1
crichton,25
crichton andrew,24
crichton andrew -,1
crichton andrew -.,23
crichton andrew.,2
crutcher,2
cynthia rowley,1
cyril geoffrey wates,1
d allen morrisey,1
d. h. lawrence james joyce,2
d. moore w. g. degenhardt,1
d. stuart palmer anthology cooke,1
d. thin,1
damon,1
damon knight,5
daniel defoe,14
daniel gordon,1
daphne du maurier,1
darrel greene,7
dashiell hammett cornell woolrich,2
david a.,1
david campton,1
david drake,3
david eastman,1
david grinnell,2
david h keller,1
david h. keller carl jacobi,1
david henry keller,1
david n. gilbert,5
david r. bunch,1
david starr jordan,1
david taylor,1
davidson,3
davies. l.p.,1
davis grubb,1
de camp,14
de camp l. und lin carter,1
deborah guyol,2
decamp,1
deems taylor,2
derleth,42
derleth augus,1
derleth august,27
derleth.august,1
destination inconnue christie,2
diana attias,1
diana marcellas,1
diana tixier herald,1
dick,1
dickens,2
dickens charles,8
dickens the mystery of edwin drood,1
dickens-charles,5
dickinson,23
dickinson emily,2
disney book group,1
dixon wells] joseph slotkin,2
dominique aury marcel arland,1
dominique rollin elisa mauny,1
don,1
don wilcox,1
don wilcox raymond chan,1
dona tolson,1
dona tolson startling mystery stories)ited by robert w. lowndes] [cover art by virgil finlay] [e. hoffmann price,1
donald,1
donald a.,11
donald a. [contributors] wollheim,1
donald a. wollheim,3
donald a. wollheim] ross rocklynne,1
donald wandrei,2
donald wollheim,1
donalditors wandrei,1
donnelly,30
donnelly ignatius,22
donnelly ignatius -,1
donnelly ignatius -.,13
donnelly ignatius -. [from old catalog],1
donnelly ignatius author. -,1
donnelly ignatius donnelly,1
donnelly ignatius:,2
dorothy a. palmer,2
douglas lambert,2
douglas r. ,1
dover thrift editions,7
doyle,30
doyle arthur conan,7
drake,3
duns,2
dwight schuh dave holt,4
dwina murphy-gibb,1
e a wallis budge,40
e a wallis budge.,2
e a.,1
e a. wallis budge,1
e e doc smith henry kuttner,1
e wallis budge,1
e. a wallis budge,5
e. a wallis budge budge,1
e. a. w.,1
e. a. wallis,3
e. a. wallis + mchague + drimmer budge,1
e. a. wallis budge,187
e. a. wallis budge sir,1
e. a. wallis. budge,5
e. a. wallis: budge,1
e. a. wallis]. [budge,1
e. a.wallis budge,1
e. c. tubb,2
e. e.,1
e. e. smith,1
e. f. benson algernon blackwood,4
e. f. bleiler,6
e. f. bleiler horace walpole,1
e. hoffman price eli colter,1
e. hoffmann price,1
e. randall floyd,1
e. wallis budge,16
e. wallis. budge,1
e.a wallis-budge,1
e.a. walli introduction -- budge,1
e.a. wallis budge,63
e.a. wallis budge wallis budge,1
e.a. wallis. budge,8
e.a.wallis budge,3
e.a.wallis budge e.a.wallis budge,4
e.e.cummings,1
earnest a. wallis budge,4
ebb sadolin,2
ect damon knight,2
ed deems taylor ,1
ed donald a wollheim,1
ed lin valigursky,1
ed marigny,1
ed. august derleth,3
ed. flora v. livingston,1
edgar allan poe,25
edgar allan poe nathaniel hawthorne,1
edgar allan. poe,1
edgar lee,1
edgar pangborn leigh brackett,1
"edgar rice [cover art by richard ""dick"" powers] burroughs",1
edgar rice burrough,1
edgar rice burroughs,478
edgar rice burroughs -,1
edgar rice burroughsrobert abbett,1
edgar-rice-burroughs,2
edited,11
edited by alfred hitchcock,1
edited by august derleth,6
edited by august derleth.,1
edited by donald a. wollheim with stories by august derleth,1
edited by donald a. wollheim with stories by chad oliver ,1
edited by ernest rhysc.a. dawson-scott,1
edited by harold ellithorpe et al,1
edited by leigh brackett,1
edited by lin carter,2
edited by oscar j. friend with stories by carl jacobi ,1
edited by rev. j. loughran scott bulfinch thomas,1
edited by sam merwin,1
edited by samuel mines with stories by a. e. van vogt,1
edited by samuel mines with stories by l. sprague de camp,2
edito,1
editor,4
editor august derleth,11
editor eldred oakes,1
editor ellerygwick,1
editor john gilland brunini,1
editor leigh brackett,5
editor rev. j. loughran scott,1
editor robert n. linscott,1
editor roger elwood,1
editor w. paul ganley,1
editor] [august derleth orbit science fiction) [jules saltman,1
editor] [cover by alex schomburg] [jacques jean ferrat fantastic universe) [san merwin jr,1
editors mabel loomis toddmilicent todd bingham,1
editors mabel loomismillcent todd bingham,1
editors martha dickinsonalfred leete hampson,1
editors of time-life books,1
edmond,2
edmond hamilton,20
edmond hamilton isaac asimov,1
edmond hamilton jack williamson,1
edmond hamilton leigh brackett,6
edmond hamilton thrilling wonder stories noel loomis,1
edmond startling,2
edmund,4
edmund boisgilbert,2
edmund fuller,2
eduardo l. holmber,1
edward lear,1
edward lucas white,1
edward wellen thom jones,1
edwin p. geauque,1
egerton,5
egerton sykes,2
eileen daly,1
elaine lalanne,4
eleanor,1
elena sbedico smith,1
elinore blaisdell,1
elizabeth,1
elizabeth barrett browning,5
elizabeth hand,1
ella wheeler wilcox,1
ellery queen,3
ellery queen charles dickens,1
ellison,4
emil et al petaja,1
emilia marryat norris,1
emilia pardo baz�,1
emily,14
emily . dickinson,2
emily / edited by martha dickinson bianchialfredet hampson dickinson,1
emily / johnson dickinson,1
emily / poems selectedwith an introduction by thomas h. johnson dickinson,1
emily / robert n. linscott dickinson,7
emily / robert n. linscott editor dickinson,1
emily / thomas h. johnson dickinson,2
emily / with introductionnotes by john malcolm brinnin dickinson,1
emily bronte jane austen,2
emily dickinson,330
emily dickinson charlotte bronte,2
emily dickinson claude blanchet,1
emily dickinson edited by,1
emily dickinson pierre presumey,1
emily dickinson.,1
emily edited by mabel loomis toddmillicent todd bingham dickinson,1
emily edited by thomas h. johnson dickinson,1
emily elizabeth dickinson,6
emily grey shurr anna dunlap,2
emily woudenberg,1
emily) editor (dickinson,2
emily. bianchi dickinson,1
emily. dickinson,5
emily/ todd dickinson,1
emily: dickinson,1
emilyrobert n. linscott,1
emma thompson,5
emmanuel berl tapi�,1
eric frank russell,6
eric kincaid,5
eric von (daniken,1
eric von daniken,16
eric wilson,1
erle stanley gardner,3
ernest a wallis budge,6
ernest a willis budge,1
ernest a. wallis budge,10
ernest alfred wallis budge,13
ernest wallis budge,1
esq. e.a. wallis budge,2
et al ray bradbury,1
et al. lin carter,1
et al] a. t.zie,1
et al] lee owens,1
et al] ray bradbury,1
et.al. william makepeace thackeray charles dickens,2
eth clifford,1
etzensberger r,1
etzensberger r.,1
eustace cockrell,1
evan,1
evan m. berman,1
evangeline walton,5
evelyn e. smith,1
evelyn e. smith robert willey,1
eyre de lanux henri calet,1
f,14
f. a. wallis budge.,1
f. marion,1
f. paul wilson,3
f.d. sherman,1
f.s.a. litt.d.,2
famous fantastic mysteries,9
fantasies ,2
fantastic,29
fantastic (l. sprague de camp ,1
fantastic adventures,2
fantastic story,7
fantasy fiction,1
federico tr. climent terrer,1
finn thybo: andersen,2
fish,1
fitz-james o'brien f. scott fitzgerald,2
flher pratt,3
flher pratt leigh brackett,3
former owner. mb thomas,1
fox,1
frances baker mason,1
frances schoonmaker bolin,1
franci bacon,1
francoise fromonot,1
frank,3
frank [illustrator] utpatel,2
frank b long stanley mullen,1
frank belknap et al long,1
frank belknap lon,1
frank belknap long,2
frank belknap long a. bertram chandler,1
frank herbert roger zelazny,1
frank norris ambrose bierce,5
frank utpatel,2
franz kafka,1
fred saberhagen,2
frederic arnold kummer jr. ray bradbury / john d. macdonald / henry kuttner -- dirk wylie,3
frederic brown ray bradbury,1
frederick arnold kummer jr leigh brackett,1
frederick e. giesecke,1
frederik,3
frederik pohl,2
fredric brown,10
fredric brown arthur j. burks,1
fritz jr. leiber,1
fritz leiber,27
fritz leiber alexander blade,1
g chesterton,1
g g pendarves robert e howard,2
g mcdonald wallis,1
g. fred asbell m.r. james,4
g. k. chesterton arthur conan doyle,2
g. mcdonald wallis,5
g. mcdonald wallis/leigh brackett,1
g. mcdonald/leigh. wallis/brackett,1
gahan wilson chris g. butler,1
gardner f. fox,18
gardner fox,2
gary l. musser,5
gault john d. macdonald,1
gene l. henderson arthur c. clarke,1
genevi�ve gennari georges piroue,1
geoffrey moore editor,1
george,4
george fox,1
george gordo elizabeth barrett browning,8
george h / lin carter smith,1
george h.,1
george h. / lin carter smith,1
george h. johnston,1
george h. smith,6
george langelaan john b. l. goodwin,1
george lipscomb,1
george lucas,7
george o. smith,1
george orwell,19
george orwell sparknotes,4
george sanders,1
georgeerich fromm orwell,1
georges bataille emily dickinson,1
georges hyvernaud pierre gascar,1
gerald kersh algernon blackwood,1
gerald vance,1
gerald warre cornish oscar wilde,1
geraldinewilliam larsen,1
gerard manley hopkins william frost,1
gernsback,1
gertrude barrows bennett,2
ghidalia,1
gil brewer ed mcbain,1
giles greenfield,1
giraud,3
glenda bendure,1
godwin,1
gordon eklund,3
gordon r dickson,1
gordon r. dickson,4
gordon w.itor] spence,1
gore,1
graham mcnamee,1
grant,4
great stories by leigh brackett donald a. wollheim editor,2
grinnell,2
groff,2
gustav adolf,1
guy de maupassant,1
guy de maupassant bram stoker,4
guy r. williams,1
gwyneth lewis,1
h,1
h g wells,3
h j campbell,5
h p blavatsky,3
h p lovecraft ,5
h p lovecraftaugust derleth,1
h pa merritt lovecraft,2
h paugust derleth lovecraft,1
h-p lovecraft,1
h-p lovecraft august derleth,2
h. (with august derleth p.,1
h. a.,1
h. g. wells,18
h. g. wells et al,4
h. l.,5
h. p lovecraft,4
h. p.,11
h. p. (jones lovecraft,1
h. p. (with august derleth lovecraft,1
h. p. [howard phillips] edited by lin carter. lovecraft,5
h. p. blavatsky ( pseudo de helena petrovna von hahn ],1
h. p. lovecraft,37
h. p. lovecraftothers,3
h. p. lovercraft,1
h. p. with august derleth lovecraft,2
h. p./ chambers lovecraft,2
h. p.august derleth lovecraft,5
h. pothers lovecraft,1
h. rider haggard,1
h. sanford effron fred freair,1
h.c andersen,2
h.g.,2
h.g. wells,3
h.p lovecraft,1
h.p lovercraft august derleth,1
h.p.,3
h.p. [helena petrovna] blavatsky,1
h.p. blavatsky,5
h.p. loveccraft,1
h.p. lovecraft,23
h.p. lovecraft y august derleth,1
h.p. lovecraft: august derleth,1
h.p. lovecraftaugust derleth,1
h.p. lovecraftselected by august derleth,1
h.p.and august derleth lovecraft,1
h.p.august derleth lovecraft,2
h[oward]. p[hillips].,1
haining,1
hal,2
hal clement,4
hal grant,1
hamilton,4
hamilton edmond,1
hampson,2
hannes bok lin carter,6
hans munk hansen,1
hans stefan,4
hans stefan santesson,1
harl vincent,1
harlan / lin carter ellison,2
harlan carter ellison,1
harlan ellison,4
harlan ellison dean mclaughlin,1
harley s. aldinger,1
harold,2
harold stassen,1
harris,3
harris r.,1
harry harrison,1
hayden howard leigh brackett,1
hazel ed. includes felleman,1
heinz plummer,1
helen sewell,3
helen tono,1
helena blavatsky,32
helena p blavatsky,9
helena p.,6
helena p. blavatsky,26
helena p. blavatsky: comentados por mario roso de luna,1
helena p. radda-bai blavatsky,1
helena p. und arthur,1
helena p.: blavatsky,3
helena pe blavatsky,6
helena petrouna blavatsky,1
helena petrova blavatsky,11
helena petrova: blavatsky,1
helena petrovka,1
helena petrovn blavatsky,4
helena petrovna blavatsky,114
helena petrovna blavatskyberbera editores,1
helena petrovna. blavatsky,1
helena petrovna: blavatsky,2
helena petrowa blavatsky,1
helena petrowna blavatsky,3
helena petrowna: blavatsky,1
helena pretrovna blavatsky,2
helena-petrovna. revisee blavatsky,1
henderson,1
hendryx,3
henri droguet patrick chamoiseau,1
henri nouwen,1
henri pontoppidan,1
henri thomas michel butor,1
henry carey baird et al ernest allen,1
henry crichton wheaton,1
henry david thoreau,17
henry david thoreau -,2
henry guth,1
henry james,13
henry james jr.,1
henry kuttner,6
henry kuttner james maccreigh,1
henry kuttner john d. macdonald,1
henry kuttner leigh brackett,2
henry miller,1
henry s. villard,1
henry s. whitehead,1
henry s. whitehead. howard p. lovecraft,1
henry slesar leigh brackett,1
henry smith ,1
henry wallace,1
henry wheaton,5
herbert asbury,1
herbert george wells,1
herbert w. armstrong,1
herman melville,20
hford jones,1
higginson dickinson,10
holmes,1
horace l. gold henry kuttner,2
horace walpole,1
horace walpole e. f. bleiler,1
hoskins,2
howard,15
howard c.,1
howard p. lovecraft ,2
howard p. und august derleth: lovecraft,1
howard phillips lovecraft,1
howard phillips lovecraft y august derleth,1
howardbeecroft haycraft,1
hpaugust lovecraftderleth,1
hpb,1
hugh pentecost,3
hughes,3
hugo,1
hugo gernsback,17
hugo und �bers. von fritz steinbeck,1
hugoh. winfield secor gernsback,2
h�l�ne tournaire ren�e massip,1
i. m. richardson,1
iain m. banks,1
ib geertsen,1
ich wohn' im haus der m�glichkeit dickinson,1
if,31
ignatius,4
ignatius / edited by egerton sykes donnelly,1
ignatius [author] donnelly,1
ignatius [loyola] [1831-1901]. donnelly,1
ignatius donnelly,163
ignatius donnelly / ed. egerton sykes,1
ignatius donnelly.,2
ignatius donnellyedited by egerton sykes,1
ignatius donnellyited by egerton sykes],1
ignatius l donnelly,1
ignatius l. donnelly,4
ignatius loyola donnelly,2
"ignatius loyola"" donnelly",1
ignatius m.d. as donnelly,1
ignatius.,1
ignatius. donnelly,14
ignatius: donnelly,3
ignatius|egerton sykes,1
illus aldren a. watson,1
illus by #30802 / al schmidt,1
illus. frank utpatel,1
illustrated by grisha dotzenko,1
inger ejskj�r,1
intro. editor,1
introduction by carey mcwilliams,1
introductionnotes by charles martin thomas bulfinch,1
introductionnotes by rachel wetzsteon emily dickinson,1
isaac asimov ,8
isaac asimov margaret st. clair,2
isaac asimov nelson bond,1
isaac asimov theodore sturgeon,1
isaac asimove,1
itor,1
ivor bertram john,2
j m landels,1
j. a.tr. bravo,2
j. arthur,1
j. b. hawker,1
j. c. barron. 1969. e. s. nixon,1
j. f. bone,1
j. g. ballard,2
j. l. christiansen,1
j. loughran,1
j. loughran scott,1
j. loughranitor] scott,1
j. r. r tolkien,4
j. r. r. tolkien,7
j. ratcliff,1
j. s. lefanu ambrose bierce,4
j. t. mcintosh,4
j.c christensen,1
j.r. r tolkien,2
j.r.r. tolkien,17
j.t. mcintosh,1
jack,3
jack london,1
jack vance,28
jack vance poul anderson,6
jack williamson robert a. heinlein,2
jacob c.,1
jacob c. solovay,1
jacques futrelle rudyard kipling,2
jacques lemarchand georges perros,1
james,1
james a. lowrie,2
james atlee phillips,1
james blish fredric brown,1
james blish] murray leinster,1
james branch,2
james branch cabell,1
james campbell todd,1
james d. perry walter kubilius,1
james et al blish,1
james gelsey,1
james h. schmitz,1
james henry gray,3
james j.,1
james l.,1
james l. francek,1
james m. hunt,3
james o. hill ph.d.,7
james reeves,2
james s. bowman,1
jane,1
jane austen,308
jane austen henry fielding,2
jane austen jane austen,1
jane austen sparknotes,7
jane austenitor],6
jane austenseth grahame-smith,2
jane jackman,1
jane langton,3
jane yolen,2
jane] hodge [austen,2
janeseth grahame-smith austen,7
jason,1
jean ashwill msn rn susan r. james phd msn rn,1
jean giraudoux edith boissonnas,1
jean marie stine steve davidson,1
jean mark gawron,1
jean-claude,1
jean-claude suares,1
jean-no�l chrisment william humphrey,1
jean-patrick,1
jean-paul constantin,1
jeanette mccarty,1
jeanette windle,1
jeff rovin,1
jeff vandermeer,1
jens,1
jens holmgaard,1
jerry pournelle,1
jim,1
jim jr.,2
jim m. swanson james m. swanson,1
jim marshall,1
jim razzi,9
joan aiken,1
joan d. vinge,1
joan scott,1
joanne,1
joaqu�n belda.,1
joe r. lansdale,1
joel jenkins,2
john,1
john / lin carter brunner,1
john [red.]. kousg�rd s�rensen,1
