"AuthorName","COUNT(*)"
 donald wandrel,1
 donald wollheim,1
 donovan fitzpatrick,1
 doris piserchia,1
 dorothy a. palmer,1
 dorothy de courcy,1
 dorothy l. sayers,1
 dorothy parker,1
 dorothy quick,1
 dorthy eden,1
 douglas r. mason,1
 doyle,3
 dudley fitts,1
 dumas,1
 e a,1
 e c tubb,5
 e e evans,6
 e. a.,4
 e. a. :,1
 e. a. w.,1
 e. a. wal,1
 e. a. wallis,10
 e. a. wallis budge,5
 e. daeniken,1
 e. e. / edward elmer smith ph.d.]ited by john w. campbell],1
 e. everett ,1
 e. nelson bridwell,3
 e. r. james,1
 e. s. nixon,1
 e.a,1
 e.w. townsend,1
 earle davis,5
 ed ,6
 ed.,16
 ed. [uk],1
 ed.intro,1
 ed: isaac asimov,1
 edgar,10
 edgar / davidson,1
 edgar allan et al,1
 edgar allan poe,16
 edgar allen poe,1
 edgar pangborn,1
 edgar rice burroughs,23
 edgar wallace,2
 edited by,1
 edited by by mabel loomis todd [and] millicent todd bingham,1
 edited by clifford l. lord,1
 edited by edgerton sykes,1
 edited by egerton sykes,1
 edited by george barkin,1
 edited by james reeves,1
 edited by leigh brackett,1
 editedwith an introduction by,1
 editee par katharine tingley,1
 edith wharton,5
 editior,1
 editor,16
 editor bryan holme,1
 editor-in-chief] [hugo gernsback,1
 editor-thomas h. johnson,1
 editor.,3
 editor. h.p. lovecraft,1
 editor. ray bradbury ,1
 editors,2
 editors: mabel loomis todd t w higginson,1
 editors: william faulkner,1
 edmond / brackett,1
 edmond // brackett,2
 edmond fuller,2
 edmond hamilton,13
 edmond hamilton [introduction],1
 edmond hamiltonitor],1
 edmond/ jorgenson,1
 edmound hamilton,1
 edmund,2
 edmund fuller,2
 edmund fulleritor],3
 edna ferber,1
 edna st. vincent,1
 edna st. vincent millay,13
 eduardo filipe freitas,1
 edward d. hoch,1
 edward everett hale,2
 edward hoch,1
 edward lear,3
 edward taylor,1
 eeric frank russell,1
 egerton,4
 egerton sykes,3
 egerton sykesitor],1
 eic,1
 elizabeth berkeley,2
 ellery queen,1
 elwood,4
 emil petaja,1
 emily,7
 emily / robert n. linscott,5
 emily / scott,1
 emily / thomas h. johnson,3
 emily dickinson,49
 emily elizabeth ) todd,2
 emily),1
 emily) pollitt,1
 emily). clendenning,1
 emily. mabel loomis toddmillicent todd bingham,1
 emily] clendenning,2
 emily] worrall,1
 emilygodden,1
 emma lazarus,11
 emsh,1
 enid bagnold,1
 eric,2
 eric frank russell,5
 eric s. brown,1
 erle stanley gardner,1
 ernest,3
 ernest alfred wallis,1
 ernest alfred wallis budge,4
 ernesto gastaldi,1
 et al,13
 et. el.,1
 ethel g. lewis,1
 etta may van tassel,1
 eugene field,3
 eve curie,3
 evelyn waugh,2
 everett,1
 everett w.,1
 ezra pound,1
 fairclough dickens,2
 faulkner,1
 felix pollak,1
 fiona stafford,1
 fischer willis,1
 fitz-james o'brien,9
 flemming madsen ,3
 foreword by august derleth,1
 forrest davis,1
 fox b. holden,1
 frances ferguson,1
 francess lin,2
 francess lin lantz,8
 francis didelot,1
 francisco torres oliver,1
 franco lucenti. charles dickens,1
 franco lucentini,1
 frank b long,8
 frank belknap,2
 frank belknap carter,1
 frank belknap long,11
 frank c. pape' [illustrator],1
 frank crist,1
 frank frazetta [illustrator],1
 frank harvey,1
 frank herbert,3
 frank herbertothers,2
 frank j. gaffney jr.,1
 frank norris,1
 frank owen,1
 frank r. stockton,1
 frank utpatel [illustrator],1
 franz hoellering,1
 fred saberhagen,5
 frederic brown,5
 frederic schoell,1
 frederick e. giesecke,2
 frederik pohl,5
 frederik pohl],1
 fredric,1
 fredric brown,4
 fritz / galouye,1
 fritz / pangborn,1
 fritz leiber,21
 fr�d�ric,2
 fur,1
 g.,1
 g. g. pendarves,1
 g. mcdonald,4
 g. mcdonald / brackett,1
 g. mcdonald wallis,1
 g. mcdonald/brackett,1
 g.h. derby,1
 gandini,1
 gantos,2
 gardner f. fox,2
 gary jennings,1
 gelett burgess,1
 gene wolfe,1
 geo effinger,1
 george,5
 george alec effinger,1
 george allan ,2
 george allan england,1
 george eliot,13
 george gordo,5
 george gordon byron byron,1
 george h. / carter,1
 george h. smith,2
 george h.carter,5
 george harmon / mcculley,1
 george herbert,1
 george j. marx,1
 george lucas,5
 george m. eliopoulis,5
 george o smith,3
 george o. smith,1
 george t. wetzel,1
 george wesley,1
 gerald charles dickens,6
 gerald vance,1
 gernsback:,1
 gertrude,3
 gervasio gallardo [illustrator],1
 ghidalia,1
 giles greenfield,9
 giovanni caselli,1
 gladys hasty carroll,1
 gordon / brackett,1
 gordon dickson,9
 gordon eklund,3
 gordon r. dickson,2
 grace f. knoche,2
 grace f. knocheitor],1
 graham,3
 graham clarke,1
 graham salisbury,8
 grant hyde code,1
 grant.includes.rinehart,2
 graves bulfinch,1
 greg bear,1
 greg benford,2
 gregory benford,1
 gregory luce,1
 greye la spina,1
 griffith borgeson,1
 grinnell,1
 grisha dotzenko,1
 groff conklin,1
 guy / bierce,1
 guy de maupassant,4
 h p ,1
 h p lovecraft,1
 h. beam piper,1
 h. g. wells,2
 h. h. hollis,1
 h. l.,1
 h. lawrence hoffman,1
 h. p.,30
 h. p. / lin carter,1
 h. p. lovecraft,2
